exp,model,pronoun,total_acc,vs_baseline_acc,vs_distractor_acc
exp4-pp,bert,themselves,1.0,1.0,1.0
exp4-pp,bert,himself,1.0,1.0,1.0
exp4-pp,bert,herself,0.9866666666666667,0.9866666666666667,1.0
exp4-pp,trans,themselves,0.7466666666666667,1.0,0.7466666666666667
exp4-pp,trans,himself,0.6533333333333333,0.8533333333333334,0.7066666666666667
exp4-pp,trans,herself,0.6266666666666667,0.9866666666666667,0.6266666666666667
exp4-pp,jrnn,themselves,0.30666666666666664,1.0,0.30666666666666664
exp4-pp,jrnn,himself,0.92,0.9866666666666667,0.9333333333333333
exp4-pp,jrnn,herself,0.8533333333333334,0.8533333333333334,1.0
exp4-pp,grnn,themselves,0.7866666666666666,1.0,0.7866666666666666
exp4-pp,grnn,himself,0.6533333333333333,1.0,0.6533333333333333
exp4-pp,grnn,herself,0.8133333333333334,0.9866666666666667,0.8266666666666667
exp4-pp,5gram,themselves,0.26666666666666666,0.0,0.06666666666666667
exp4-pp,5gram,himself,0.29333333333333333,0.0,0.16
exp4-pp,5gram,herself,0.28,0.0,0.13333333333333333
exp4-pp,tiny,themselves,0.9333333333333333,1.0,0.9333333333333333
exp4-pp,tiny,himself,0.21333333333333335,0.9066666666666666,0.24
exp4-pp,tiny,herself,0.12,0.28,0.28
exp4-pp,rnng,themselves,0.6133333333333333,0.9733333333333334,0.64
exp4-pp,rnng,himself,0.64,0.9866666666666667,0.6533333333333333
exp4-pp,rnng,herself,0.6266666666666667,0.9733333333333334,0.6266666666666667
