model,full_exp,vs_baseline_acc,vs_distractor_acc
grnn,rc_himself,1.0,0.13333333333333333
grnn,rc_herself,1.0,0.37333333333333335
grnn,rc_pl,1.0,0.76
jrnn,rc_himself,1.0,0.8
jrnn,rc_herself,1.0,0.3333333333333333
jrnn,rc_pl,1.0,0.8666666666666667
trans,rc_himself,0.5733333333333334,0.3333333333333333
trans,rc_herself,1.0,0.7866666666666666
trans,rc_pl,1.0,1.0
tiny,rc_himself,1.0,0.14666666666666667
tiny,rc_herself,0.41333333333333333,0.29333333333333333
tiny,rc_pl,1.0,0.04
rnng,rc_himself,0.8,0.12
rnng,rc_herself,0.7733333333333333,0.0
rnng,rc_pl,1.0,0.6
